ID: 121730332, parent ID: 117868726, lineage: 4917584, generation: 133
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 117868726, parent ID: 117712537, lineage: 4917584, generation: 132
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 117993413, parent ID: 116335661, lineage: 4917584, generation: 131
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 121674997, parent ID: 113922938, lineage: 4917584, generation: 130
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 111094695, parent ID: 103006759, lineage: 87919529, generation: 22
instruction: 0
instruction: e
instruction: 6
instruction: 4
instruction: d
instruction: f
instruction: f
instruction: f
instruction: f

ID: 113922938, parent ID: 112076916, lineage: 4917584, generation: 129
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 120926246, parent ID: 120753310, lineage: 4917584, generation: 128
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 120753310, parent ID: 120508338, lineage: 4917584, generation: 127
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 121507372, parent ID: 121505600, lineage: 4917584, generation: 126
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
instruction: 8
instruction: e
instruction: 8
instruction: 1
instruction: a
instruction: f
instruction: 0
instruction: f
instruction: f
instruction: f
instruction: f

ID: 121505600, parent ID: 121439352, lineage: 4917584, generation: 125
instruction: 6
instruction: e
instruction: a
instruction: 7
instruction: 9
instruction: 5
instruction: b
instruction: e
instruction: 5
